OrderType,OrderCategory,CustomerCode,CountryName,CustomerOrderNo,Custorderdate,UnitName,QtyRequired,TotalArea,Amount,ITEM_NAME,QualityName,DesignName,ColorName,ShapeName,AreaFt
Area Wise,Sample,CC,INDIA,10-AUG19_GOLZE,2019-08-10,Mtr,8,4.08,0.0,DOUBLE BACK,D.B. 45C,LINEA,ASSORTED,REC,43.7361
Area Wise,Sample,CC,INDIA,10-AUG19_GOLZE,2019-08-10,Mtr,3,4.08,0.0,DOUBLE BACK,D.B. 45C,BURBERRY,ASSORTED,REC,43.7361
Area Wise,Order,T-5,UK,50 588056,2019-08-10,Ft,420,8.4375,2835.0,DURRY,FLATWOVEN COTTON+10C,ACRU,GREY,REC,8.4375
Area Wise,Order,T-5,UK,55 588056,2019-08-10,Ft,180,8.4375,1215.0,DURRY,FLATWOVEN COTTON+10C,ACRU,GREY,REC,8.4375
Area Wise,Order,T-5,UK,50 588391,2019-08-10,Ft,450,8.4375,3037.5,DURRY,FLATWOVEN COTTON+10C,ACRU,DENIM,REC,8.4375
Area Wise,Order,T-5,UK,55 588391,2019-08-10,Ft,150,8.4375,1012.5,DURRY,FLATWOVEN COTTON+10C,ACRU,DENIM,REC,8.4375
Area Wise,Order,T-5,UK,50 588391,2019-08-10,Ft,225,8.4375,1518.75,DURRY,FLATWOVEN COTTON+10C,ACRU,BLACK/DENIM,REC,8.4375
Area Wise,Order,T-5,UK,55 588391,2019-08-10,Ft,75,8.4375,506.25,DURRY,FLATWOVEN COTTON+10C,ACRU,BLACK/DENIM,REC,8.4375
Area Wise,Sample,T-5,UK,S 30,2019-09-16,Ft,1,35.0,0.0,DOUBLE BACK,D.B. 40C V/V,RIBBED,SILVER,REC,35.0
Area Wise,Order,T-5,UK,50 595035,2019-08-10,Ft,20,35.0,1470.0,DOUBLE BACK,D.B. 40C V/V,RIBBED,SILVER,REC,35.0
Area Wise,Sample,T-5,UK,29-AUG19_SAMPLE-5,2019-08-29,Ft,1,35.0,0.0,DOUBLE BACK,D.B. 40C V/V,RIBBED,SILVER,REC,35.0
Area Wise,Order,T-5,UK,50 595035,2019-08-10,Ft,20,35.0,1470.0,DOUBLE BACK,D.B. 40C V/V,RIBBED,SAND,REC,35.0
Area Wise,Sample,T-5,UK,29-AUG19_SAMPLE-5,2019-08-29,Ft,1,35.0,0.0,DOUBLE BACK,D.B. 40C V/V,RIBBED,SAND,REC,35.0
Area Wise,Sample,T-5,UK,S 30,2019-09-16,Ft,1,35.0,0.0,DOUBLE BACK,D.B. 40C V/V,RIBBED,SAND,REC,35.0
Area Wise,Order,T-5,UK,50 595035,2019-08-10,Ft,40,24.0,1584.0,HAND TUFTED,TUFTED 60C+VISC 2/16 5PLY ALL CUT,BRICKS,BLUE,REC,24.0
Area Wise,Order,T-5,UK,50 595035,2019-08-10,Ft,20,35.0,1155.0,HAND TUFTED,TUFTED 60C+VISC 2/16 5PLY ALL CUT,BRICKS,BLUE,REC,35.0
Area Wise,Order,T-5,UK,50 595035,2019-08-10,Ft,100,24.0,2880.0,HANDWOVEN,HAND WOVEN COTTON+10C,CP-1 [10513],WHITE/BLACK,REC,24.0
Area Wise,Order,T-5,UK,50 595035,2019-08-10,Ft,100,24.0,2880.0,HANDWOVEN,HAND WOVEN COTTON+10C,CP-2,NATURAL GREY,REC,24.0
Area Wise,Order,T-5,UK,50 595035,2019-08-10,Ft,100,24.0,2880.0,HANDWOVEN,HAND WOVEN COTTON+10C,CP-3 [10354],CHARCOAL/WHITE,REC,24.0
Area Wise,Sample,CC,INDIA,10-AUG19_SAMPLE-2,2019-08-10,Mtr,1,3.68,0.0,HAND TUFTED,TUFTED 60C 2PLY ALL LOOP,10492,BEIGE/MULTI,REC,39.8125
Area Wise,Sample,CC,INDIA,10-AUG19_SAMPLE-3,2019-08-10,Ft,1,6.0,0.0,HAND TUFTED,TUFTED 60C ALL LOOP,PVD1,SILVER,REC,6.0
